iter	Logloss	Accuracy
0	0.6773204402	0.784011220211	0.661634628	0.784011220222	0.6459722945	0.800841514733	0.6310165412	0.807854137444	0.6174428629	0.810659186555	0.6035974603	0.810659186566	0.590289513	0.809256662
7	0.5795904536	0.8078541374
8	0.5700734872	0.8148667602
9	0.5608863902	0.8134642351010	0.5515599492	0.8148667611	11	0.5439522186	0.814866712	012	0.5349077868	0.81767113	0.13	0.5286540898	0.817614	0.5114	0.5249546066	0.813415	0.5115	0.5175229534	0.819016	0.5116	0.5112895573	0.817617	0.5117	0.5045860271	0.821818	0.1118	0.49981115	0.82047619	0119	0.4945984234	0.82187920	0220	0.4906877716	0.82047621	0221	0.4858171044	0.82047622	0222	0.4809619569	0.82187923	0223	0.4766229871	0.82187924	0224	0.4716477807	0.82328125	0225	0.467589536	0.821879326	026	0.4657751626	0.821879327	027	0.4627587762	0.821879328	028	0.4594728943	0.821879329	229	0.457089534	0.8232819030	30	0.4540658919	0.826086931	031	0.4525712366	0.82468432	032	0.4514904776	0.824684433	33	0.4496295933	0.8260869534	34	0.445532324	0.8288920053535	0.4440561088	0.8302945336	36	0.4433209513	0.8288920037	37	0.4406328414	0.8288920038	38	0.4377602551	0.8288920039	39	0.4355979663	0.828892040	440	0.4335053591	0.830294541	441	0.4326861792	0.8302945424242	0.4305302645	0.831697043	043	0.4269717779	0.833099544	044	0.4246465964	0.83730745	0.45	0.4233332225	0.83590446	0.46	0.4215497877	0.83730747	0.47	0.4199197712	0.83590448	0.48	0.4176926331	0.83870949	0.49	0.415665275	0.838709650	050	0.4146324872	0.838709651	051	0.4127670827	0.838709652	052	0.4106687422	0.840112253	53	0.4083435346	0.840112205454	0.4069717268	0.840112205555	0.4050914063	0.8415147265656	0.4040115345	0.8415147257	57	0.4033231734	0.841514758	058	0.4018720486	0.84151459	0.59	0.4005883719	0.84151460	0.60	0.3998240936	0.84151461	0.61	0.3993082435	0.8415162	0.362	0.39795705	0.844319763	063	0.3968353725	0.844319764	064	0.3950943589	0.84431965	0.65	0.3941331255	0.84431966	0.66	0.3931013455	0.845767	0.3867	0.3911208275	0.847168	0.3868	0.3901086447	0.847169	0.3869	0.3889539021	0.848570	0.3870	0.3882207912	0.848571	0.3871	0.3877557856	0.84972	0.38572	0.386855718	0.84973	0.38473	0.3857997229	0.84974	0.38374	0.3857733626	0.84975	0.38275	0.3855344015	0.85176	0.38076	0.3830708489	0.85277	0.38077	0.3823355596	0.8578	0.379478	0.3818575447	0.8579	0.379179	0.3812138707	0.8580	0.378380	0.3805622527	0.8581	0.377981	0.3800838016	0.8582	0.377482	0.3788073204	0.8583	0.377083	0.3773949562	0.8884	0.376784	0.3770122153	0.8885	0.375685	0.3757809219	0.886	0.3747886	0.375387777	0.8887	0.374687	0.37524205	0.852888	0.3788	0.3741620109	0.889	89	0.3789	0.3734357022	0.890	90	0.3790	0.3727743231	0.891	91	0.3791	0.3726348315	0.89292	0.37092	0.3713714277	0.89393	0.37093	0.3706315828	0.94	94	0.36994	0.3699718032	0.95	95	0.36895	0.3695084809	096	096	0.36796	0.3689109891	097	097	0.36797	0.3689085661	98	098	0.367098	0.368627994899	0.99	0.366499	0.368392069100	0100	0.3656100	0.36741459101	0.101	0.365101	0.367283673102	0102	0.3640102	0.36721097103	0.103	0.3636103	0.36708798104	0.104	0.363104	0.366599408105	0.105	0.363105	0.365369234106	0.106	0.362106	0.365367904107	0.107	0.36107	0.3651558001108	0.108	0.36108	0.365031399109	0.3109	0.36109	0.364357482110	0.3110	0.36110	0.363256747111	0.3111	0.35111	0.362683531112	0.3112	0.35112	0.362062093113	0.3113	0.35113	0.361390230114	0.3114	0.35114	0.360941276115	0.3115	0.35115	0.359839239116	0.3116	0.35116	0.359056939117	0.3117	0.35117	0.35898652118	0.36118	0.35118	0.3586661119	0.366119	0.35119	0.3574767120	0.365120	0.35120	0.3570099121	0.361121	0.35121	0.3566611122	0.361122	0.35122	0.3555272123	0.361123	0.35123	0.3124	0.124	0.361124	0.35124	0.3125	0.125	0.36125	0.353126	0.3361459126	0.3126	0.3538127	0.3357185127	0.127	128	0.3355825142	0.8128	0128	0129	0.3351042409	0.129	130	0.3348838815	0.87359551301131	0.3344767399	0.875
132	0.3340683493	0.8764044944
133	0.3340040908	0.8764044944
134	0.3335846625	0.8764044944
135	0.3333033966	0.875
136	0.3325152373	0.875
137	0.3324455832	0.875
138	0.3316659748	0.875
139	0.331665827	0.875
140	0.331435264	0.875
141	0.3309952476	0.8735955056
142	0.3308544513	0.8721910112
143	0.3308517593	0.8721910112
144	0.3304314218	0.875
145	0.3303577523	0.8735955056
146	0.3301628993	0.875
147	0.329831465	0.8735955056
148	0.3296237945	0.875
149	0.3290511485	0.875
150	0.3281313302	0.8764044944
151	0.3272033227	0.8764044944
152	0.3269950483	0.8764044944
153	0.32699264	0.8764044944
154	0.3266303513	0.8764044944
