iter	Passed	Remaining
0	2	2307
1	3	1937
2	6	2117
3	8	2163
4	10	2156
5	12	2091
6	14	2095
7	17	2124
8	20	2211
9	23	2295
10	25	2337
11	27	2263
12	29	2213
13	31	2209
14	33	2183
15	35	2166
16	37	2188
17	41	2259
18	44	2272
19	45	2217
20	47	2199
21	50	2225
22	52	2250
23	55	2246
24	57	2234
25	58	2183
26	60	2187
27	61	2133
28	64	2148
29	66	2157
30	69	2170
31	70	2142
32	73	2164
33	75	2157
34	78	2151
35	79	2139
36	82	2151
37	84	2136
38	85	2112
39	87	2099
40	90	2118
41	93	2123
42	95	2122
43	97	2129
44	98	2097
45	100	2086
46	102	2071
47	104	2077
48	106	2073
49	109	2086
50	112	2094
51	115	2104
52	118	2109
53	120	2117
54	123	2130
55	126	2126
56	128	2121
57	131	2132
58	134	2139
59	141	2217
60	145	2234
61	147	2233
62	150	2234
63	152	2226
64	155	2231
65	157	2231
66	159	2224
67	162	2221
68	164	2223
69	166	2213
70	167	2191
71	170	2192
72	173	2196
73	174	2189
74	177	2188
75	180	2192
76	182	2188
77	184	2185
78	187	2187
79	189	2174
80	191	2170
81	194	2175
82	196	2166
83	198	2168
84	202	2175
85	202	2155
86	205	2151
87	207	2147
88	209	2145
89	211	2140
90	214	2137
91	215	2127
92	216	2111
93	219	2118
94	221	2110
95	224	2111
96	226	2104
97	228	2100
98	230	2098
99	231	2085
100	232	2072
101	235	2074
102	238	2073
103	241	2076
104	242	2070
105	244	2060
106	246	2060
107	247	2044
108	249	2039
109	251	2036
110	252	2022
111	255	2023
112	257	2023
113	260	2026
114	263	2026
115	265	2024
116	267	2018
117	270	2018
118	271	2013
119	274	2014
120	278	2020
121	282	2034
122	285	2039
123	288	2040
124	291	2042
125	294	2040
126	296	2037
127	298	2032
128	298	2017
129	301	2015
130	303	2012
131	308	2027
132	310	2025
133	311	2016
134	313	2010
135	316	2013
136	319	2015
137	323	2019
138	326	2022
139	328	2020
140	331	2019
141	334	2018
142	335	2012
143	338	2014
144	342	2019
145	345	2020
146	347	2014
147	349	2013
148	352	2014
149	355	2013
150	358	2018
151	361	2018
152	370	2050
153	375	2064
154	379	2068
155	381	2065
156	383	2058
157	384	2051
158	385	2039
159	386	2031
160	388	2022
161	389	2016
162	392	2014
163	393	2008
164	394	1995
165	398	2003
166	401	2001
167	402	1990
168	405	1994
169	409	1997
170	412	1998
171	421	2028
172	425	2033
173	429	2039
174	432	2040
175	435	2040
176	441	2051
177	442	2045
178	446	2047
179	448	2043
180	452	2045
181	455	2047
182	457	2041
183	459	2037
184	461	2031
185	461	2021
186	463	2015
187	464	2004
188	466	2000
189	468	1996
190	470	1994
191	472	1987
192	474	1982
193	475	1977
194	477	1972
195	479	1966
196	481	1960
197	482	1954
198	484	1948
199	486	1944
200	487	1937
201	489	1933
202	489	1923
203	491	1918
204	493	1913
205	494	1904
206	495	1899
207	496	1890
208	498	1886
209	499	1879
210	501	1875
211	510	1899
212	513	1896
213	518	1904
214	522	1908
215	524	1902
216	525	1897
217	527	1891
218	528	1886
219	530	1882
220	531	1873
221	533	1868
222	533	1859
223	535	1856
224	537	1850
225	539	1846
226	541	1842
227	542	1838
228	544	1834
229	545	1825
230	547	1822
231	548	1814
232	549	1809
233	550	1803
234	552	1799
235	554	1795
236	555	1789
237	557	1785
238	559	1781
239	561	1777
240	563	1773
241	565	1769
242	566	1765
243	567	1759
244	569	1754
245	570	1749
246	572	1745
247	574	1741
248	576	1738
249	578	1734
250	579	1730
251	580	1723
252	582	1718
253	583	1713
254	584	1709
255	586	1705
256	588	1700
257	590	1697
258	591	1692
259	593	1688
260	594	1684
261	596	1681
262	599	1679
263	601	1676
264	602	1670
265	604	1667
266	605	1662
267	607	1659
268	609	1656
269	610	1649
270	612	1646
271	613	1642
272	615	1639
273	617	1635
274	618	1631
275	620	1628
276	622	1624
277	624	1620
278	625	1617
279	626	1611
280	628	1607
281	629	1603
282	631	1600
283	633	1596
284	635	1594
285	637	1590
286	639	1587
287	641	1585
288	643	1582
289	645	1579
290	647	1576
291	649	1573
292	651	1571
293	652	1568
294	654	1565
295	656	1562
296	658	1559
297	660	1556
298	663	1556
299	665	1553
300	667	1549
301	669	1547
302	671	1544
303	672	1540
304	674	1537
305	676	1534
306	678	1531
307	680	1527
308	682	1525
309	683	1522
310	685	1518
311	687	1515
312	688	1511
313	690	1508
314	692	1506
315	694	1503
316	696	1501
317	698	1498
318	700	1494
319	702	1491
320	703	1489
321	705	1485
322	707	1482
323	709	1479
